epoch,step,train_loss
0,49,3.778475761413574
1,99,3.2940070629119873
2,149,3.2929165363311768
3,199,3.213320016860962
4,249,3.133352041244507
5,299,3.1545562744140625
6,349,2.980841875076294
7,399,3.054032802581787
8,449,2.998077154159546
9,499,3.092193841934204
10,549,2.9604766368865967
11,599,3.1038320064544678
12,649,2.896308183670044
13,699,2.952850341796875
14,749,2.8915398120880127
15,799,3.0247738361358643
16,849,2.961942434310913
17,899,2.8721814155578613
18,949,2.9571900367736816
19,999,2.857522964477539
20,1049,3.0196914672851562
21,1099,2.827913284301758
22,1149,2.9678168296813965
23,1199,2.8583130836486816
24,1249,2.809997320175171
25,1299,2.956676959991455
26,1349,2.832382917404175
27,1399,2.905973434448242
28,1449,2.794931650161743
29,1499,2.8591809272766113
30,1549,2.7893221378326416
31,1599,2.816337823867798
32,1649,2.835719108581543
33,1699,2.8449881076812744
34,1749,2.73659610748291
35,1799,2.89402437210083
36,1849,2.8146533966064453
37,1899,2.845939874649048
38,1949,2.858609199523926
39,1999,2.7914440631866455
40,2049,2.820643424987793
41,2099,2.7571823596954346
42,2149,2.768568754196167
43,2199,2.776125907897949
44,2249,2.698305606842041
45,2299,2.83323335647583
46,2349,2.733846664428711
47,2399,2.873347282409668
48,2449,2.7697324752807617
49,2499,2.7603704929351807
50,2549,2.7965385913848877
51,2599,2.803757429122925
52,2649,2.8397228717803955
53,2699,2.6437020301818848
54,2749,2.819175958633423
55,2799,2.7480335235595703
56,2849,2.853597640991211
57,2899,2.692678213119507
58,2949,2.7993111610412598
59,2999,2.7734458446502686
60,3049,2.732448101043701
61,3099,2.8111181259155273
62,3149,2.6983165740966797
63,3199,2.7559399604797363
64,3249,2.774515390396118
65,3299,2.7727489471435547
66,3349,2.70267391204834
67,3399,2.826472759246826
68,3449,2.6957883834838867
69,3499,2.796327590942383
70,3549,2.734159469604492
71,3599,2.79349946975708
72,3649,2.773385524749756
73,3699,2.7588727474212646
74,3749,2.767091989517212
75,3799,2.7913143634796143
76,3849,2.7254812717437744
77,3899,2.7975308895111084
78,3949,2.7492799758911133
79,3999,2.6777234077453613
80,4049,2.75749135017395
81,4099,2.6435718536376953
82,4149,2.8127336502075195
83,4199,2.6743719577789307
84,4249,2.7524054050445557
85,4299,2.7784759998321533
86,4349,2.6951119899749756
87,4399,2.7713088989257812
88,4449,2.6879541873931885
89,4499,2.787449836730957
90,4549,2.760308027267456
91,4599,2.6690402030944824
92,4649,2.8727762699127197
93,4699,2.7036712169647217
94,4749,2.7909493446350098
95,4799,2.767728567123413
96,4849,2.725447416305542
97,4899,2.8091211318969727
98,4949,2.6855764389038086
99,4999,2.7614662647247314
100,5049,2.669189214706421
101,5099,2.815063238143921
102,5149,2.715259313583374
103,5199,2.8335928916931152
104,5249,2.7589621543884277
105,5299,2.675609827041626
106,5349,2.747581720352173
107,5399,2.672304630279541
108,5449,2.8497369289398193
109,5499,2.7412521839141846
110,5549,2.7232444286346436
111,5599,2.728088140487671
112,5649,2.636174201965332
113,5699,2.7652924060821533
114,5749,2.6670892238616943
115,5799,2.792858600616455
116,5849,2.7567734718322754
117,5899,2.7729711532592773
118,5949,2.731205463409424
119,5999,2.805553913116455
